No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
1,20120146,Nguyen Thi Chau,Ngoc,Male,21/1/2002,4543219152018
2,20120147,Dao Khoa,Nguyen,Female,8/6/2002,3740023832018
3,20120148,Le Vi,Nguyen,Male,12/12/2002,4193676072018
4,20120149,Pham Sy,Nguyen,Male,19/11/2002,3904168022018
5,20120150,Nguyen Thi My,Nguyet,Female,9/4/2002,4121410822018
6,20120151,Nguyen Thanh,Nhan,Male,2/7/2002,3807824012018
7,20120152,Nguyen Doan Van,Nhi,Female,6/7/2002,4316843302018
8,20120153,Pham Thi Quynh,Nhu,Male,21/9/2002,4505387252018
9,20120154,Le Minh,Nhut,Female,6/12/2002,4169788792018
10,20120155,Bien Viet,Pham,Male,2/7/2002,4152235492018
11,20120157,Tran Quang,Phat,Male,15/4/2002,4400067202018
12,20120158,Tran Hoang Anh,Phi,Female,30/10/2002,4369907542018
13,20120159,Nguyen Sy,Phong,Male,26/11/2002,4379062722018
14,20120161,Nguyen Huu,Phuc,Female,30/9/2002,3808080652018
15,20120165,Hong Nhat,Phuong,Female,18/5/2002,4626820402018
16,20120166,Nguyen Duong Tuan,Phuong,Female,2/10/2002,4424477672018
17,20120167,Lam Nhat,Quan,Male,11/5/2002,4291230862018
18,20120168,Quach Bao,Quan,Female,30/12/2002,3960677682018
19,20120169,Hoang Dinh Ngoc,Quang,Female,20/9/2002,4343557542018
20,20120171,Tran Thong,Quang,Female,7/6/2002,3869868862018
21,20120172,Van Duy,Quang,Male,12/2/2002,4382646432018
22,20120173,Tran Nguyen,Quy,Female,2/1/2002,3785482032018
23,20120175,Le Thai Nhu,Quynh,Female,8/4/2002,4188992682018
24,20120176,Nguyen Ngoc Thuy,Quynh,Female,9/10/2002,4148069332018
25,20120177,Tran Thai,San,Female,8/12/2002,4694259952018
26,20120178,Nguyen Quang Nghi,Sinh,Female,29/4/2002,4479715152018
27,20120180,Nguyen Huu,Tai,Male,16/10/2002,4026968292018
28,20120181,Vo Van,Tai,Female,28/10/2002,3839573732018
29,20120183,Nguyen Nhat,Tan,Female,20/2/2002,3896933322018
30,20120184,Pham Quang,Tan,Male,19/4/2002,3996217172018
31,20120185,Tran Trong,Tan,Female,5/5/2002,4378683832018
32,20120186,Le An,Thach,Female,17/6/2002,4384968852018
33,20120187,Nguyen Viet,Thai,Male,31/8/2002,4308633162018
34,20120188,Le Tran Thien,Thang,Male,14/12/2002,4503089792018
