No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
1,20120002,Nguyen Thai,Chung,Male,9/6/2002,4041161922018
2,20120007,Do Trung,Hieu,Female,18/5/2002,4711350802018
3,20120009,Nguyen Van,Hung,Male,26/8/2002,4680769892018
4,20120010,Nguyen Duc,Huy,Female,23/4/2002,4008015572018
5,20120011,Nguyen Hoang,Huy,Male,14/5/2002,4459919042018
6,20120012,Nguyen Pham Nhat,Huy,Female,9/11/2002,4507914302018
7,20120013,Trinh Quoc,Huy,Male,15/10/2002,4184793622018
8,20120014,Vuong Gia,Huy,Female,14/12/2002,4628980192018
9,20120015,Ly Hoang,Khai,Female,30/1/2002,4191282572018
10,20120017,Phan Quoc,Ky,Male,26/10/2002,3838573732018
11,20120018,Tran Kieu Minh,Lam,Male,12/4/2002,4629148422018
12,20120019,Nguyen Duc,Manh,Male,30/11/2002,3811474172018
13,20120020,Huynh Duc,Nham,Female,29/3/2002,3977195882018
14,20120021,Ho Van,Son,Female,23/9/2002,4163955662018
15,20120022,Le Quang,Tri,Female,17/10/2002,4164605122018
16,20120023,Bui Quoc,Trung,Female,28/12/2002,4370799172018
17,20120024,Huynh Minh,Tuan,Male,4/4/2002,4522588562018
18,20120025,Hoang Trong,Vu,Male,3/8/2002,3866446272018
19,20120027,Le Hai,Duy,Female,4/1/2002,4139517572018
20,20120028,Huynh Le,An,Male,20/2/2002,4470493482018
21,20120029,Nguyen Minh,An,Female,10/6/2002,4048330422018
22,20120030,Nguyen Thien,An,Female,16/3/2002,3868729782018
23,20120031,Nguyen Viet,An,Male,25/9/2002,4333520552018
24,20120032,Phan Truong,An,Male,9/6/2002,4275617132018
25,20120033,Vo Hoai,An,Male,25/9/2002,3747929602018
26,20120037,Tran Thi Minh,Anh,Female,26/7/2002,4638473002018
27,20120038,Vu Hoang The,Anh,Female,29/1/2002,4477065682018
28,20120040,Nguyen Quang Gia,Bao,Female,29/5/2002,4099917942018
29,20120041,Tran Kim,Bao,Male,21/6/2002,4220495622018
30,20120042,Truong Quan,Bao,Female,14/7/2002,4147679482018
31,20120043,Vuong Le Duc,Binh,Male,28/10/2002,3882744082018
32,20120044,Ngo Thi Ngoc,Boi,Female,14/5/2002,3859973262018
33,20120045,Ho Thi Kim,Chi,Female,16/8/2002,4423944212018
34,20120046,Ngo Xuan,Chien,Male,2/8/2002,3809301932018
35,20120049,Nguyen Hai,Dang,Female,4/7/2002,4652094832018
36,20120050,Nguyen Nhat,Dang,Female,24/4/2002,4674612102018
37,20120053,Nguyen Thanh,Dat,Male,6/12/2002,4229791402018
38,20120054,Nguyen Thanh,Dat,Male,16/9/2002,4183818702018
39,20120055,Nguyen The,Dat,Male,30/6/2002,3744514472018
40,20120056,Tran Quoc,Dinh,Male,12/5/2002,4042943832018
41,20120057,Tran Ngoc,Do,Male,2/1/2002,4443839022018
42,20120059,Le Ngoc,Duc,Female,7/10/2002,4208885522018
43,20120060,Nguyen Tri,Duc,Male,4/10/2002,4374533912018
44,20120061,Pham Duong Truong,Duc,Male,2/12/2002,4251048322018
45,20120063,Le Thi Thuy,Duong,Female,18/3/2002,4348281222018
46,20120065,Lam Quang,Duy,Male,27/7/2002,4031067232018
47,20120067,Nguyen Pham Ba,Duy,Female,6/12/2002,3880963752018
48,20120068,Phan,Duy,Female,28/2/2002,4362484472018
49,20120069,Tao Khanh,Duy,Male,22/6/2002,3751658642018
50,20120070,Huynh Thiet,Gia,Male,18/6/2002,3798261102018
51,20120071,Nguyen Thi Bich,Ha,Female,19/12/2002,4226121992018
52,20120072,Phan Ngoc Son,Ha,Male,8/8/2002,3962657322018
53,20120073,Van Ly,Hai,Male,20/7/2002,4648557212018
54,20120074,Nguyen Gia,Hao,Male,22/1/2002,3764230282018
55,20120075,Le Thi Minh,Hien,Male,21/9/2002,4411317832018
56,20120076,Mai Vinh,Hien,Male,24/12/2002,4618095052018
57,20120077,Nguyen Quang,Hien,Female,23/9/2002,4246055332018
58,20120078,Nguyen The,Hien,Male,10/8/2002,3865060792018
59,20120079,Trinh Huu,Hiep,Male,12/4/2002,4060557232018
60,20120081,Nguyen Mau Trong,Hieu,Female,14/12/2002,4708828342018
61,20120082,Nguyen Thanh,Hieu,Female,31/12/2002,3810474142018
62,20120083,Nguyen Trong,Hieu,Female,26/10/2002,4282217352018
63,20120084,Nguyen Van,Hieu,Male,20/10/2002,4535327302018
64,20120085,Tran Xuan,Hoa,Male,9/5/2002,4030629352018
65,20120087,Duong Dinh Bao,Hoang,Male,7/3/2002,4325644442018
66,20120088,Le Nguyen Thanh,Hoang,Male,1/6/2002,3867995902018
67,20120089,Le Xuan,Hoang,Male,16/6/2002,3766621742018
68,20120090,Nguyen The,Hoang,Female,3/1/2002,3732303442018
69,20120092,Tran Huy,Hoang,Male,16/12/2002,4035841312018
70,20120093,Nguyen Thi Hong,Nhung,Male,12/4/2002,4221118132018
71,20120094,Pham Phu,Hung,Male,3/1/2002,4296111342018
72,20120095,Ngo Quang,Hung,Female,3/5/2002,3998911852018
73,20120096,Nguyen Duy,Hung,Female,17/4/2002,3801347912018
74,20120097,Trieu Tan,Hung,Female,13/8/2002,4477515832018
75,20120099,Tran Huynh,Huong,Female,20/9/2002,4489833312018
76,20120100,Do Minh,Huy,Male,12/3/2002,4370308772018
